#,Address,Source,Scoreboard Dependencies,Live Registers,Warp Stall Sampling (All Samples),Instruction Category,Instructions Executed,Avg. Predicated-On Threads Executed,Address Space,Access Operation,Access Size,L2 Theoretical Sectors Global Excessive,Register Dependencies,Predicate Dependencies,Uniform Register Dependencies,Uniform Predicate Dependencies
193,00007ffc 155ec000,"      F2FP.F16.F32.PACK_AB R35, RZ, R35",0,39,10,Other,98304,32,,,,,,,,
194,00007ffc 155ec010,"      F2FP.F16.E2M1.UNPACK_B R14, R40",0,40,297,Other,98304,32,,,,,,,,
195,00007ffc 155ec020,"      HMUL2 R37, R37, R35.H0_H0",0,40,17,Floating Point,98304,32,,,,,,,,
196,00007ffc 155ec030,"      F2FP.F16.E2M1.UNPACK_B R43, R44.B1",0,41,1,Other,98304,32,,,,,,,,
197,00007ffc 155ec040,"      F2FP.F16.E4M3.UNPACK_B R4, R4",0,41,2,Other,98304,32,,,,,,,,
198,00007ffc 155ec050,"      HFMA2 R14, R14, R37, -RZ",0,41,2,Floating Point,98304,32,,,,,,,,
199,00007ffc 155ec060,"      F2FP.F16.E4M3.UNPACK_B R38, R38",0,40,2,Other,98304,32,,,,,,,,
200,00007ffc 155ec070,"      HMUL2 R43, R43, R35.H0_H0",0,40,1,Floating Point,98304,32,,,,,,,,
201,00007ffc 155ec080,"      F2FP.F16.E2M1.UNPACK_B R41, R40.B1",0,41,,Other,98304,32,,,,,,,,
202,00007ffc 155ec090,"      F2FP.F16.E2M1.UNPACK_B R37, R39",0,42,2,Other,98304,32,,,,,,,,
203,00007ffc 155ec0a0,"      HADD2.F32 R4, -RZ, R4.H0_H0",0,42,1,Floating Point,98304,32,,,,,,,,
204,00007ffc 155ec0b0,"      F2FP.F16.E2M1.UNPACK_B R42, R36",0,43,2,Other,98304,32,,,,,,,,
205,00007ffc 155ec0c0,"      HADD2.F32 R45, -RZ, R38.H0_H0",0,44,,Floating Point,98304,32,,,,,,,,
206,00007ffc 155ec0d0,"      HFMA2 R14, R41, R43, R14",0,43,12,Floating Point,98304,32,,,,,,,,
207,00007ffc 155ec0e0,"      HMUL2 R37, R37, R35.H0_H0",0,41,1,Floating Point,98304,32,,,,,,,,
208,00007ffc 155ec0f0,"      F2FP.F16.E2M1.UNPACK_B R38, R39.B1",0,42,2,Other,98304,32,,,,,,,,
209,00007ffc 155ec100,"      F2FP.F16.E2M1.UNPACK_B R41, R44.B2",0,43,2,Other,98304,32,,,,,,,,
210,00007ffc 155ec110,"      HMUL2 R37, R42, R37",0,43,,Floating Point,98304,32,,,,,,,,
211,00007ffc 155ec120,"      FMUL.FTZ R43, R4, R45",0,43,3,Floating Point,98304,32,,,,,,,,
212,00007ffc 155ec130,"      F2FP.F16.E2M1.UNPACK_B R42, R40.B2",0,42,2,Other,98304,32,,,,,,,,
213,00007ffc 155ec140,"      HMUL2 R38, R38, R35.H0_H0",0,42,1,Floating Point,98304,32,,,,,,,,
214,00007ffc 155ec150,"      F2FP.F16.E2M1.UNPACK_B R4, R36.B1",0,43,,Other,98304,32,,,,,,,,
215,00007ffc 155ec160,"      HMUL2 R41, R41, R35.H0_H0",0,43,1,Floating Point,98304,32,,,,,,,,
216,00007ffc 155ec170,"      HFMA2 R42, R42, R41, R14",0,43,6,Floating Point,98304,32,,,,,,,,
217,00007ffc 155ec180,"      HFMA2 R14, R4, R38, R37",0,42,1,Floating Point,98304,32,,,,,,,,
218,00007ffc 155ec190,"      F2FP.F16.F32.PACK_AB R4, RZ, R43",0,40,2,Other,98304,32,,,,,,,,
219,00007ffc 155ec1a0,"      F2FP.F16.E2M1.UNPACK_B R43, R39.B2",0,40,3,Other,98304,32,,,,,,,,
220,00007ffc 155ec1b0,"      F2FP.F16.E2M1.UNPACK_B R41, R44.B3",0,41,3,Other,98304,32,,,,,,,,
221,00007ffc 155ec1c0,"      F2FP.F16.E2M1.UNPACK_B R40, R40.B3",0,40,4,Other,98304,32,,,,,,,,
222,00007ffc 155ec1d0,"      HMUL2 R43, R43, R35.H0_H0",0,40,1,Floating Point,98304,32,,,,,,,,
223,00007ffc 155ec1e0,"      F2FP.F16.E2M1.UNPACK_B R38, R36.B2",0,41,,Other,98304,32,,,,,,,,
224,00007ffc 155ec1f0,"      HMUL2 R41, R41, R35.H0_H0",0,41,,Floating Point,98304,32,,,,,,,,
225,00007ffc 155ec200,"      F2FP.F16.E2M1.UNPACK_B R44, R31",0,42,,Other,98304,32,,,,,,,,
226,00007ffc 155ec210,"      F2FP.F16.E2M1.UNPACK_B R37, R32",0,43,12,Other,98304,32,,,,,,,,
227,00007ffc 155ec220,"      HFMA2 R40, R40, R41, R42",0,43,1,Floating Point,98304,32,,,,,,,,
228,00007ffc 155ec230,"      HFMA2 R14, R38, R43, R14",0,41,6,Floating Point,98304,32,,,,,,,,
229,00007ffc 155ec240,"      F2FP.F16.E2M1.UNPACK_B R41, R31.B1",0,40,1,Other,98304,32,,,,,,,,
230,00007ffc 155ec250,"      HMUL2 R44, R44, R4.H0_H0",0,40,4,Floating Point,98304,32,,,,,,,,
231,00007ffc 155ec260,"      F2FP.F16.E2M1.UNPACK_B R39, R39.B3",0,40,,Other,98304,32,,,,,,,,
232,00007ffc 155ec270,"      F2FP.F16.E2M1.UNPACK_B R38, R36.B3",0,41,6,Other,98304,32,,,,,,,,
233,00007ffc 155ec280,"      HMUL2 R37, R37, R44",0,40,2,Floating Point,98304,32,,,,,,,,
234,00007ffc 155ec290,"      F2FP.F16.E2M1.UNPACK_B R36, R32.B1",0,40,2,Other,98304,32,,,,,,,,
235,00007ffc 155ec2a0,"      HMUL2 R41, R41, R4.H0_H0",0,40,2,Floating Point,98304,32,,,,,,,,
236,00007ffc 155ec2b0,"      HMUL2 R39, R39, R35.H0_H0",0,40,8,Floating Point,98304,32,,,,,,,,
237,00007ffc 155ec2c0,"      HFMA2 R14, R38, R39, R14",0,39,8,Floating Point,98304,32,,,,,,,,
238,00007ffc 155ec2d0,"      HFMA2 R38, R36, R41, R37",0,38,3,Floating Point,98304,32,,,,,,,,
239,00007ffc 155ec2e0,"      F2FP.F16.E2M1.UNPACK_B R39, R31.B2",0,36,3,Other,98304,32,,,,,,,,
240,00007ffc 155ec2f0,"      F2FP.F16.E2M1.UNPACK_B R36, R32.B2",0,37,2,Other,98304,32,,,,,,,,
241,00007ffc 155ec300,"      HMUL2 R39, R39, R4.H0_H0",0,37,21,Floating Point,98304,32,,,,,,,,
242,00007ffc 155ec310,"      F2FP.F16.E2M1.UNPACK_B R41, R33",0,38,1,Other,98304,32,,,,,,,,
243,00007ffc 155ec320,"      HFMA2 R36, R36, R39, R38",0,38,12,Floating Point,98304,32,,,,,,,,
244,00007ffc 155ec330,"      F2FP.F16.E2M1.UNPACK_B R38, R31.B3",0,37,2,Other,98304,32,,,,,,,,
245,00007ffc 155ec340,"      HMUL2 R41, R41, R4.H0_H0",0,36,1,Floating Point,98304,32,,,,,,,,
246,00007ffc 155ec350,"      F2FP.F16.E2M1.UNPACK_B R37, R28",0,37,2,Other,98304,32,,,,,,,,
247,00007ffc 155ec360,"      HADD2.F32 R35, -RZ, R40.H0_H0",0,38,2,Floating Point,98304,32,,,,,,,,
248,00007ffc 155ec370,"      F2FP.F16.E2M1.UNPACK_B R32, R32.B3",0,38,1,Other,98304,32,,,,,,,,
249,00007ffc 155ec380,"      HADD2.F32 R40, -RZ, R40.H1_H1",0,38,2,Floating Point,98304,32,,,,,,,,
250,00007ffc 155ec390,"      HMUL2 R38, R38, R4.H0_H0",0,38,1,Floating Point,98304,32,,,,,,,,
251,00007ffc 155ec3a0,"      F2FP.F16.E2M1.UNPACK_B R39, R33.B1",0,39,,Other,98304,32,,,,,,,,
252,00007ffc 155ec3b0,"      HFMA2 R37, R37, R41, -RZ",0,39,,Floating Point,98304,32,,,,,,,,
253,00007ffc 155ec3c0,"      F2FP.F16.E4M3.UNPACK_B R30, R30",0,38,1,Other,98304,32,,,,,,,,
254,00007ffc 155ec3d0,"      FADD.FTZ R35, R35, R40",0,38,,Floating Point,98304,32,,,,,,,,
255,00007ffc 155ec3e0,"      HADD2.F32 R40, -RZ, R14.H0_H0",0,38,1,Floating Point,98304,32,,,,,,,,
256,00007ffc 155ec3f0,"      HFMA2 R32, R32, R38, R36",0,38,6,Floating Point,98304,32,,,,,,,,
257,00007ffc 155ec400,"      F2FP.F16.E2M1.UNPACK_B R31, R28.B1",0,37,,Other,98304,32,,,,,,,,
258,00007ffc 155ec410,"      HADD2.F32 R14, -RZ, R14.H1_H1",0,37,1,Floating Point,98304,32,,,,,,,,
259,00007ffc 155ec420,"      F2FP.F16.E4M3.UNPACK_B R34, R34",0,37,1,Other,98304,32,,,,,,,,
260,00007ffc 155ec430,"      HMUL2 R39, R39, R4.H0_H0",0,37,1,Floating Point,98304,32,,,,,,,,
261,00007ffc 155ec440,"      FADD.FTZ R35, R40, R35",0,37,5,Floating Point,98304,32,,,,,,,,
262,00007ffc 155ec450,"      HADD2.F32 R38, -RZ, R30.H0_H0",0,37,2,Floating Point,98304,32,,,,,,,,
263,00007ffc 155ec460,"      F2FP.F16.E2M1.UNPACK_B R30, R33.B2",0,37,,Other,98304,32,,,,,,,,
264,00007ffc 155ec470,"      HFMA2 R31, R31, R39, R37",0,37,2,Floating Point,98304,32,,,,,,,,
265,00007ffc 155ec480,"      FADD.FTZ R14, R14, R35",0,35,4,Floating Point,98304,32,,,,,,,,
266,00007ffc 155ec490,"      HADD2.F32 R37, -RZ, R34.H0_H0",0,35,,Floating Point,98304,32,,,,,,,,
267,00007ffc 155ec4a0,"      F2FP.F16.E2M1.UNPACK_B R34, R33.B3",0,35,,Other,98304,32,,,,,,,,
268,00007ffc 155ec4b0,"      HADD2.F32 R35, -RZ, R32.H0_H0",0,35,,Floating Point,98304,32,,,,,,,,
269,00007ffc 155ec4c0,"      HMUL2 R33, R30, R4.H0_H0",0,36,7,Floating Point,98304,32,,,,,,,,
270,00007ffc 155ec4d0,"      HADD2.F32 R36, -RZ, R32.H1_H1",0,36,2,Floating Point,98304,32,,,,,,,,
271,00007ffc 155ec4e0,"      F2FP.F16.E2M1.UNPACK_B R32, R28.B2",0,36,1,Other,98304,32,,,,,,,,
272,00007ffc 155ec4f0,"      FMUL.FTZ R37, R37, R38",0,36,1,Floating Point,98304,32,,,,,,,,
273,00007ffc 155ec500,"      HFMA2 R31, R32, R33, R31",0,35,8,Floating Point,98304,32,,,,,,,,
274,00007ffc 155ec510,"      HMUL2 R34, R34, R4.H0_H0",0,33,3,Floating Point,98304,32,,,,,,,,
275,00007ffc 155ec520,"      F2FP.F16.E2M1.UNPACK_B R28, R28.B3",0,32,2,Other,98304,32,,,,,,,,
276,00007ffc 155ec530,"      F2FP.F16.F32.PACK_AB R4, RZ, R37",0,33,2,Other,98304,32,,,,,,,,
277,00007ffc 155ec540,"      F2FP.F16.E2M1.UNPACK_B R32, R26",0,33,3,Other,98304,32,,,,,,,,
278,00007ffc 155ec550,"      F2FP.F16.E4M3.UNPACK_B R33, R8",0,34,,Other,98304,32,,,,,,,,
279,00007ffc 155ec560,"      HFMA2 R8, R28, R34, R31",0,34,2,Floating Point,98304,32,,,,,,,,
280,00007ffc 155ec570,"      F2FP.F16.E2M1.UNPACK_B R28, R15",0,32,1,Other,98304,32,,,,,,,,
281,00007ffc 155ec580,"      HMUL2 R32, R32, R4.H0_H0",0,32,,Floating Point,98304,32,,,,,,,,
282,00007ffc 155ec590,"      HADD2.F32 R34, -RZ, R33.H0_H0",0,33,11,Floating Point,98304,32,,,,,,,,
283,00007ffc 155ec5a0,"      F2FP.F16.E4M3.UNPACK_B R29, R29",0,32,1,Other,98304,32,,,,,,,,
284,00007ffc 155ec5b0,"      F2FP.F16.E2M1.UNPACK_B R33, R26.B1",0,33,3,Other,98304,32,,,,,,,,
285,00007ffc 155ec5c0,"      FADD.FTZ R30, R35, R36",0,34,2,Floating Point,98304,32,,,,,,,,
286,00007ffc 155ec5d0,"      HFMA2 R28, R28, R32, -RZ",0,32,2,Floating Point,98304,32,,,,,,,,
287,00007ffc 155ec5e0,"      HADD2.F32 R35, -RZ, R29.H0_H0",0,32,9,Floating Point,98304,32,,,,,,,,
288,00007ffc 155ec5f0,"      F2FP.F16.E2M1.UNPACK_B R31, R15.B1",0,32,1,Other,98304,32,,,,,,,,
289,00007ffc 155ec600,"      HMUL2 R33, R33, R4.H0_H0",0,32,1,Floating Point,98304,32,,,,,,,,
290,00007ffc 155ec610,"      HADD2.F32 R29, -RZ, R8.H0_H0",0,33,3,Floating Point,98304,32,,,,,,,,
291,00007ffc 155ec620,"      FMUL.FTZ R34, R34, R35",0,33,4,Floating Point,98304,32,,,,,,,,
292,00007ffc 155ec630,"      FADD.FTZ R14, R14, R17",0,32,1,Floating Point,98304,32,,,,,,,,
293,00007ffc 155ec640,"      HFMA2 R28, R31, R33, R28",0,31,4,Floating Point,98304,32,,,,,,,,
294,00007ffc 155ec650,"      F2FP.F16.E2M1.UNPACK_B R33, R11",0,30,1,Other,98304,32,,,,,,,,
295,00007ffc 155ec660,"      HADD2.F32 R17, -RZ, R8.H1_H1",0,31,1,Floating Point,98304,32,,,,,,,,
296,00007ffc 155ec670,"      F2FP.F16.E2M1.UNPACK_B R31, R26.B2",0,31,,Other,98304,32,,,,,,,,
297,00007ffc 155ec680,"      FADD.FTZ R30, R29, R30",0,31,1,Floating Point,98304,32,,,,,,,,
298,00007ffc 155ec690,"      F2FP.F16.F32.PACK_AB R8, RZ, R34",0,31,2,Other,98304,32,,,,,,,,
299,00007ffc 155ec6a0,"      F2FP.F16.E2M1.UNPACK_B R35, R13",0,31,5,Other,98304,32,,,,,,,,
300,00007ffc 155ec6b0,"      HMUL2 R33, R33, R4.H0_H0",0,31,1,Floating Point,98304,32,,,,,,,,
301,00007ffc 155ec6c0,"      F2FP.F16.E2M1.UNPACK_B R29, R15.B2",0,32,1,Other,98304,32,,,,,,,,
302,00007ffc 155ec6d0,"      HMUL2 R31, R31, R4.H0_H0",0,32,3,Floating Point,98304,32,,,,,,,,
303,00007ffc 155ec6e0,"      F2FP.F16.E2M1.UNPACK_B R32, R16",0,33,,Other,98304,32,,,,,,,,
304,00007ffc 155ec6f0,"      HMUL2 R35, R35, R8.H0_H0",0,33,,Floating Point,98304,32,,,,,,,,
305,00007ffc 155ec700,"      F2FP.F16.E2M1.UNPACK_B R34, R27",0,34,,Other,98304,32,,,,,,,,
306,00007ffc 155ec710,"      F2FP.F16.E2M1.UNPACK_B R26, R26.B3",0,34,12,Other,98304,32,,,,,,,,
307,00007ffc 155ec720,"      HFMA2 R28, R29, R31, R28",0,34,1,Floating Point,98304,32,,,,,,,,
308,00007ffc 155ec730,"      FADD.FTZ R17, R17, R30",0,32,3,Floating Point,98304,32,,,,,,,,
309,00007ffc 155ec740,"      HFMA2 R29, R32, R33, -RZ",0,32,5,Floating Point,98304,32,,,,,,,,
310,00007ffc 155ec750,"      HMUL2 R30, R34, R35",0,31,3,Floating Point,98304,32,,,,,,,,
311,00007ffc 155ec760,"      F2FP.F16.E2M1.UNPACK_B R15, R15.B3",0,29,,Other,98304,32,,,,,,,,
312,00007ffc 155ec770,"      HMUL2 R26, R26, R4.H0_H0",0,29,,Floating Point,98304,32,,,,,,,,
313,00007ffc 155ec780,"      F2FP.F16.E2M1.UNPACK_B R32, R11.B1",0,30,2,Other,98304,32,,,,,,,,
314,00007ffc 155ec790,"      F2FP.F16.E2M1.UNPACK_B R34, R13.B1",0,31,1,Other,98304,32,,,,,,,,
315,00007ffc 155ec7a0,"      F2FP.F16.E2M1.UNPACK_B R31, R16.B1",0,32,11,Other,98304,32,,,,,,,,
316,00007ffc 155ec7b0,"      HMUL2 R32, R32, R4.H0_H0",0,32,,Floating Point,98304,32,,,,,,,,
317,00007ffc 155ec7c0,"      F2FP.F16.E2M1.UNPACK_B R33, R27.B1",0,33,1,Other,98304,32,,,,,,,,
318,00007ffc 155ec7d0,"      HMUL2 R34, R34, R8.H0_H0",0,33,1,Floating Point,98304,32,,,,,,,,
319,00007ffc 155ec7e0,"      HFMA2 R15, R15, R26, R28",0,33,3,Floating Point,98304,32,,,,,,,,
320,00007ffc 155ec7f0,"      F2FP.F16.E2M1.UNPACK_B R26, R11.B2",0,32,4,Other,98304,32,,,,,,,,
321,00007ffc 155ec800,"      HFMA2 R29, R31, R32, R29",0,32,1,Floating Point,98304,32,,,,,,,,
322,00007ffc 155ec810,"      F2FP.F16.E2M1.UNPACK_B R36, R19",0,31,,Other,98304,32,,,,,,,,
323,00007ffc 155ec820,"      F2FP.F16.E2M1.UNPACK_B R28, R11.B3",0,32,6,Other,98304,32,,,,,,,,
324,00007ffc 155ec830,"      F2FP.F16.E2M1.UNPACK_B R32, R13.B2",0,32,8,Other,98304,32,,,,,,,,
325,00007ffc 155ec840,"      HFMA2 R30, R33, R34, R30",0,32,,Floating Point,98304,32,,,,,,,,
326,00007ffc 155ec850,"      F2FP.F16.E2M1.UNPACK_B R11, R16.B2",0,31,1,Other,98304,32,,,,,,,,
327,00007ffc 155ec860,"      HMUL2 R26, R26, R4.H0_H0",0,31,2,Floating Point,98304,32,,,,,,,,
328,00007ffc 155ec870,"      F2FP.F16.E2M1.UNPACK_B R35, R18",0,32,,Other,98304,32,,,,,,,,
329,00007ffc 155ec880,"      HMUL2 R36, R36, R8.H0_H0",0,32,,Floating Point,98304,32,,,,,,,,
330,00007ffc 155ec890,"      F2FP.F16.E2M1.UNPACK_B R34, R19.B1",0,33,,Other,98304,32,,,,,,,,
331,00007ffc 155ec8a0,"      HMUL2 R32, R32, R8.H0_H0",0,33,1,Floating Point,98304,32,,,,,,,,
332,00007ffc 155ec8b0,"      F2FP.F16.E2M1.UNPACK_B R31, R27.B2",0,34,1,Other,98304,32,,,,,,,,
333,00007ffc 155ec8c0,"      HFMA2 R11, R11, R26, R29",0,34,,Floating Point,98304,32,,,,,,,,
334,00007ffc 155ec8d0,"      F2FP.F16.E2M1.UNPACK_B R33, R18.B1",0,33,2,Other,98304,32,,,,,,,,
335,00007ffc 155ec8e0,"      HMUL2 R35, R35, R36",0,33,1,Floating Point,98304,32,,,,,,,,
336,00007ffc 155ec8f0,"      F2FP.F16.E2M1.UNPACK_B R26, R19.B2",0,33,1,Other,98304,32,,,,,,,,
337,00007ffc 155ec900,"      HMUL2 R34, R34, R8.H0_H0",0,33,1,Floating Point,98304,32,,,,,,,,
338,00007ffc 155ec910,"      HFMA2 R30, R31, R32, R30",0,33,11,Floating Point,98304,32,,,,,,,,
339,00007ffc 155ec920,"      HMUL2 R4, R28, R4.H0_H0",0,31,4,Floating Point,98304,32,,,,,,,,
340,00007ffc 155ec930,"      F2FP.F16.E2M1.UNPACK_B R28, R19.B3",0,31,2,Other,98304,32,,,,,,,,
341,00007ffc 155ec940,"      HFMA2 R33, R33, R34, R35",0,30,,Floating Point,98304,32,,,,,,,,
342,00007ffc 155ec950,"      F2FP.F16.E2M1.UNPACK_B R13, R13.B3",0,28,2,Other,98304,32,,,,,,,,
343,00007ffc 155ec960,"      HMUL2 R26, R26, R8.H0_H0",0,28,1,Floating Point,98304,32,,,,,,,,
344,00007ffc 155ec970,"      F2FP.F16.E2M1.UNPACK_B R19, R18.B2",0,29,1,Other,98304,32,,,,,,,,
345,00007ffc 155ec980,"      F2FP.F16.E2M1.UNPACK_B R16, R16.B3",0,29,4,Other,98304,32,,,,,,,,
346,00007ffc 155ec990,"      HMUL2 R13, R13, R8.H0_H0",0,29,,Floating Point,98304,32,,,,,,,,
347,00007ffc 155ec9a0,"      F2FP.F16.E2M1.UNPACK_B R27, R27.B3",0,29,3,Other,98304,32,,,,,,,,
348,00007ffc 155ec9b0,"      HFMA2 R19, R19, R26, R33",0,29,,Floating Point,98304,32,,,,,,,,
349,00007ffc 155ec9c0,"      HFMA2 R4, R16, R4, R11",0,27,11,Floating Point,98304,32,,,,,,,,
350,00007ffc 155ec9d0,"      HFMA2 R13, R27, R13, R30",0,25,4,Floating Point,98304,32,,,,,,,,
351,00007ffc 155ec9e0,"      F2FP.F16.E2M1.UNPACK_B R18, R18.B3",0,23,,Other,98304,32,,,,,,,,
352,00007ffc 155ec9f0,"      HMUL2 R28, R28, R8.H0_H0",0,23,,Floating Point,98304,32,,,,,,,,
353,00007ffc 155eca00,"      HADD2.F32 R8, -RZ, R15.H0_H0",0,23,4,Floating Point,98304,32,,,,,,,,
354,00007ffc 155eca10,"      HADD2.F32 R15, -RZ, R15.H1_H1",0,23,4,Floating Point,98304,32,,,,,,,,
355,00007ffc 155eca20,"      HADD2.F32 R16, -RZ, R13.H0_H0",0,24,2,Floating Point,98304,32,,,,,,,,
356,00007ffc 155eca30,"      HFMA2 R18, R18, R28, R19",0,24,8,Floating Point,98304,32,,,,,,,,
357,00007ffc 155eca40,"      HADD2.F32 R13, -RZ, R13.H1_H1",0,22,3,Floating Point,98304,32,,,,,,,,
358,00007ffc 155eca50,"      FADD.FTZ R8, R8, R15",0,22,3,Floating Point,98304,32,,,,,,,,
359,00007ffc 155eca60,"      HADD2.F32 R11, -RZ, R4.H0_H0",0,22,1,Floating Point,98304,32,,,,,,,,
360,00007ffc 155eca70,"      HADD2.F32 R4, -RZ, R4.H1_H1",0,22,,Floating Point,98304,32,,,,,,,,
361,00007ffc 155eca80,"      FADD.FTZ R16, R16, R13",0,22,3,Floating Point,98304,32,,,,,,,,
362,00007ffc 155eca90,"      HADD2.F32 R13, -RZ, R18.H0_H0",0,22,1,Floating Point,98304,32,,,,,,,,
363,00007ffc 155ecaa0,"      FADD.FTZ R11, R11, R8",0,22,4,Floating Point,98304,32,,,,,,,,
364,00007ffc 155ecab0,"      HADD2.F32 R18, -RZ, R18.H1_H1",0,21,2,Floating Point,98304,32,,,,,,,,
365,00007ffc 155ecac0,"      FADD.FTZ R14, R14, R17",0,21,2,Floating Point,98304,32,,,,,,,,
366,00007ffc 155ecad0,"      FADD.FTZ R13, R13, R16",0,20,,Floating Point,98304,32,,,,,,,,
367,00007ffc 155ecae0,"      FADD.FTZ R11, R4, R11",0,19,1,Floating Point,98304,32,,,,,,,,
368,00007ffc 155ecaf0,"      FADD.FTZ R18, R18, R13",0,18,8,Floating Point,98304,32,,,,,,,,
369,00007ffc 155ecb00,"      FADD.FTZ R11, R14, R11",0,17,1,Floating Point,98304,32,,,,,,,,
370,00007ffc 155ecb10,"      IADD3 R10, PT, PT, R10, 0x400, RZ",0,16,1,Integer,98304,32,,,,,,,,
371,00007ffc 155ecb20,"      FADD.FTZ R17, R11, R18",0,17,6,Floating Point,98304,32,,,,,,,,
372,00007ffc 155ecb30,@!P0  BRA 0x7ffc155ebd70,0,15,,Control,98304,21,,,,,,,,
373,00007ffc 155ecb40,      BSYNC.RECONVERGENT B0,0,5,7,Control,32768,32,,,,,,,,
374,00007ffc 155ecb50,"      SHFL.DOWN PT, R4, R17, 0x10, 0x1f",0,6,5,Movement,32768,32,,,,,,,,
375,00007ffc 155ecb60,"      ISETP.NE.AND P0, PT, R2, RZ, PT",0,6,,Integer,32768,32,,,,,,,,
376,00007ffc 155ecb70,"      FADD.FTZ R4, R4, R17",0,5,13,Floating Point,32768,32,,,,,,,,
377,00007ffc 155ecb80,"      SHFL.DOWN PT, R5, R4, 0x8, 0x1f",0,5,5,Movement,32768,32,,,,,,,,
378,00007ffc 155ecb90,"      FADD.FTZ R5, R4, R5",0,5,18,Floating Point,32768,32,,,,,,,,
379,00007ffc 155ecba0,"      SHFL.DOWN PT, R6, R5, 0x4, 0x1f",0,5,3,Movement,32768,32,,,,,,,,
380,00007ffc 155ecbb0,"      FADD.FTZ R6, R5, R6",0,5,19,Floating Point,32768,32,,,,,,,,
381,00007ffc 155ecbc0,"      SHFL.DOWN PT, R7, R6, 0x2, 0x1f",0,5,4,Movement,32768,32,,,,,,,,
382,00007ffc 155ecbd0,"      FADD.FTZ R7, R6, R7",0,5,15,Floating Point,32768,32,,,,,,,,
383,00007ffc 155ecbe0,"      SHFL.DOWN PT, R2, R7, 0x1, 0x1f",0,5,6,Movement,32768,32,,,,,,,,
384,00007ffc 155ecbf0,@P0   EXIT,0,5,,Control,32768,31,,,,,,,,
385,00007ffc 155ecc00,"      LDCU.64 UR4, c[0x0][0x3a0]",0,5,4,Uniform Datapath,32768,1,,,,,,,,
386,00007ffc 155ecc10,"      FADD.FTZ R4, R7, R2",0,6,4,Floating Point,32768,1,,,,,,,,
387,00007ffc 155ecc20,"      F2FP.F16.F32.PACK_AB R4, RZ, R4",0,4,11,Other,32768,1,,,,,,,,
388,00007ffc 155ecc30,"      LEA R2, P0, R0, UR4, 0x1",0,5,3,Integer,32768,1,,,,,,,,
389,00007ffc 155ecc40,"      LEA.HI.X R3, R0, UR5, R3, 0x1, P0",0,5,5,Integer,32768,1,,,,,,,,
390,00007ffc 155ecc50,"      STG.E.U16 desc[UR8][R2.64], R4",0,4,2,Load/Store,32768,1,Global,Store,16,,,,,
391,00007ffc 155ecc60,      EXIT,0,1,2,Control,32768,1,,,,,,,,
392,00007ffc 155ecc70,      BRA 0x7ffc155ecc70,0,1,13,Control,,,,,,,,,,
393,00007ffc 155ecc80,      NOP,0,,,Miscellaneous,,,,,,,,,,
394,00007ffc 155ecc90,      NOP,0,,,Miscellaneous,,,,,,,,,,
395,00007ffc 155ecca0,      NOP,0,,,Miscellaneous,,,,,,,,,,
396,00007ffc 155eccb0,      NOP,0,,,Miscellaneous,,,,,,,,,,
397,00007ffc 155eccc0,      NOP,0,,,Miscellaneous,,,,,,,,,,
398,00007ffc 155eccd0,      NOP,0,,,Miscellaneous,,,,,,,,,,
399,00007ffc 155ecce0,      NOP,0,,,Miscellaneous,,,,,,,,,,
400,00007ffc 155eccf0,      NOP,0,,,Miscellaneous,,,,,,,,,,
